pre,post,weight
AIYR,SIBDR,14
AIYR,RIAR,112
AIYR,AWAR,3
AIYR,RIBR,109
AIYR,ADFR,2
AIYR,AFDR,9
AIYR,ASER,1
AIYR,AIZR,141
AIYR,NRRlab?,5
AIYR,AWBR,4
AIYR,AIAR,9
DCC4,DCC6,1
DCC4,mus-dr,4
DCC4,mus-DR,4
DCC4,DCM,5
DCC4,DCC2,1
DA/AS,contin8,1
DA/AS,dc-622,1
DA/AS,contin1,33
DA/AS,contin3,4
DA/AS,contin5,8
DA/AS,UNK,14
vc-1006,RVGCB10,2
vc-1006,mus-D,2
vc-1006,RVGCB19,9
vc-1006,contin10530,9
vc-1006,vc-right,3
vc-1006,AVFR,5
vc-1006,vc-990,3
vc-1006,vc-2413,2
vc-1006,RVGCB19,9
AVAR,zeb,12
AVAR,yi-49,7
AVAR,AVAL,5
AVAR,UNK,27
AVAR,RVGCB40,15
AVAR,yi-55,14
AVAR,branchy,3
AVAR,yi-56,3
AVAR,contin2629,4
AVAR,VCCB2,4
AVAR,AVAL,38
AVAR,RIGR,2
AVAR,merv,21
AVAR,null,1
AVAR,contin1228,4
AVAR,vc-left-14,1
AVAR,RVGCB8,7
vc-1000,picard,3
vc-1000,vc-987,3
vc-1000,riker,1
vc-1000,vc-988,2
vc-1001,contin1015,21
vc-1001,mus-VR,5
vc-1001,contin9625,4
vc-1001,mus,6
vc-1001,RVGCB16VDn,6
vc-1001,mus,6
vc-1001,contin1029,3
vc-1001,RVGCB7,2
AVAL,RVGCB15,2
AVAL,RMHL,1
AVAL,RVGCB13,2
AVAL,AVAR,5
AVAL,contin2762,4
AVAL,RVGCB40,5
AVAL,yi-55,17
AVAL,branchy,2
AVAL,NRLfrag,1
AVAL,phan,11
AVAL,unk-ventral-607,5
AVAL,merv,23
AVAL,vc-990,4
AVAL,RVGCB16VDn,2
AVAL,VC570,1
AVAL,contin2627,2
NRRlab?,AIYR,7
NRRlab?,AIAR,7
URXL,RMGL,1
IL2VR,CEPVR,3
IL2VR,RMER,14
IL2VR,RIPR,37
IL2VR,RMEL,10
IL2VR,RIH,6
IL2VR,IL1VR,14
IL2VR,URAVR,12
IL2VR,RMED,11
IL2VL,URAVL,13
IL2VL,RMED,6
IL2VL,RMER,6
IL2VL,CEMVL,1
IL2VL,RMEV,5
IL2VL,RIPL,33
IL2VL,RMEL,14
IL2VL,IL1VL,12
IL2VL,OLQVL,8
IL2VL,RIAL,5
contin9984,AVAL,7
contin9984,vc-987,3
contin9984,vc-990,4
contin9984,AVBL,4
AWBL,NRleft,3
AWBL,AIZL,1
AWBL,SMBVL,3
AWBL,NRLfrag,3
AWBL,ADFL,15
AWBL,AIYL,12
AWBL,RIAL,12
AWBL,RIBL,8
strecci,UNK,1
p,VDn,3
p,DDn,4
p,mus,4
p,yi-23,4
RICL,AIBR,4
RICL,RMHL,1
RICL,RVGCB12,2
RICL,MCML,1
RICL,CEPVR,1
RICL,AVAR,20
RICL,SMDVR,3
RICL,SMDDL,14
RICL,SAAVR,3
RICL,AVAL,23
RICL,SMDDR,19
RICL,RIML,2
RICL,RIML,2
RICL,CEPDR,1
contin10626,vc-1022,2
contin10626,AVAR,2
contin10626,AVDR,2
contin10626,vc-1022,2
contin10626,ADEL,6
contin10626,VGfrag,2
contin10626,SAADL,6
contin10626,AVJL,2
contin10626,RIML,2
contin10626,RIML,2
contin2627,AVAL,2
contin17,contin34,1
contin17,contin1,1
contin17,contin16,1
contin17,contin5,1
RMDR,CEPDL,6
RMDR,RIAR,23
RMDR,RIMR,5
RMDR,URXL,5
RMDR,mus-L,11
RMDR,mus-DL,14
RMDR,RMGL,2
RMDR,NRmotor,2
RMDR,SMBVL,1
RMDR,IL2L,10
RMDR,SIADR,5
RMDR,SMDDR,5
RMDR,IL1L,4
RMDR,RMDL,15
RMDR,RMDDL,5
RMDR,mus-VL,5
RMDR,NRLfrag,30
RMDR,RIAL,15
RMDR,RMER,2
AQR,RIAR,6
AQR,AVBL,5
AQR,VGRPVCL,4
AQR,DVA,1
AQR,AVDR,3
AQR,AVAR,3
AQR,ADEL,4
AQR,NRRfrag,3
AQR,ALMR,2
AQR,PVCR,5
AQR,PVCL,5
AQR,RIAL,5
AQR,AVBR,8
AQR,BAGL,3
RMDL,RMDR,2
RMDL,RMDL,2
NR72,AVAL,2
NR72,RMFR,2
DVC,AVKR,14
DVC,AIBR,6
DVC,RIBR,1
DVC,RIBR,13
DVC,AVAR,31
DVC,CEPshVR,6
DVC,AVKL,14
DVC,SMDVL,1
DVC,AVL,3
DVC,AVAL,35
DVC,RIGL,2
DVC,CEPshVR,6
DVC,RIGR,9
DVC,NRL,4
DVC,CEMVR,2
DVC,AIBL,3
DVC,RIBL,1
FLPR,AIBR,4
FLPR,AVAR,15
FLPR,FLPR,3
FLPR,AVAL,16
FLPR,FLPL,2
FLPR,RIVR,3
FLPR,RIML,4
FLPR,RIML,4
FLPR,AIBL,3
RIGR,PVPR,5
RIGR,RMHL,18
RIGR,AVEL,8
RIGR,PLNR,4
RIGR,RIBR,5
RIGR,RIR,15
RIGR,AVKL,13
RIGR,CEMVR,10
RIGR,URYVR,1
RIGR,PVT,2
RIGR,RMHL,18
RIGR,OLQVR,4
RIGR,BAGL,5
RIML,AIBR,4
RIML,RMDR,10
RIML,AVBL,21
RIML,mus-DR,5
RIML,NR54,6
RIML,RIBR,3
RIML,RMFL,1
RIML,RMFR,1
RIML,ADAL,8
RIML,RIBL,3
RIML,NRDfrag,1
RIML,RIFL,1
RIML,NR,2
RIML,NRLfrag\,5
RIML,SAAVL,13
RIML,mus-NRV,2
RIML,SAAVR,16
RIML,mus-V,16
RIML,AVBR,21
RIML,MCML,3
RIML,SMDDL,12
RIML,SMDVL,11
RIML,SMDDR,10
RIML,RIS,1
RIFR,MCMR,17
RIFR,AVEL,3
RIFR,AVHR,1
RIFR,AVAR,1
RIFR,AVBL,2
RIFR,AVFR,1
RIFR,contin6090,3
RIFR,contin2734,1
RIFR,PVN_2,3
RIFR,RIFR,1
RIFR,EF3,10
RIFR,AVBR,26
yi-49,b,4
yi-49,yi-46,4
yi-49,VBn,2
NRVfrag9,AVKR,3
NRVfrag9,VC80,2
NRVfrag9,RIGR,16
NRVfrag9,AVL,2
NRVfrag9,RMFR,3
NRVfrag9,AVKL,7
NRVfrag9,PVT,4
NRVfrag9,AIBL,5
NRVfrag9,VGfrag40,2
AVHL,AWBL,1
AVHL,SIAVL,1
AVHL,ADFL,3
AVHL,AVDR,2
AVHL,DVA,2
AVHL,SMBVL,6
AVHL,AVM,1
AVHL,RICL,1
AVHL,VGLfrag,2
AVHL,DVA,2
AVHL,UNK,3
AVHL,AVFR,3
CEPshVL,AINR,6
CEPshVL,RIBL,6
ADFR,AWAR,1
ADFR,RIAR,31
ADFR,SMBVR,1
ADFR,ABR-6,2
ADFR,SMBDR,3
ADFR,RIPR,1
ADFR,AUAR,9
ADFR,ASGR,2
ADFR,AFDR,2
ADFR,AIZR,22
ADFR,NRfrag,4
ADFR,AWBR,7
ADFL,AIZL,34
ADFL,AUAL,3
ADFL,NRDfrag,3
ADFL,SMBVL,7
ADFL,NRLfrag,3
ADFL,RIGL,8
ADFL,NRLfrag_AIA?,10
ADFL,ADAL,2
ADFL,RIBL,1
ADFL,OLQVL,2
ADFL,RIAL,44
ADFL,AWAL,1
ABRP-14,OLQDR,4
ABRP-14,IL2DR,6
ABRP-14,CEPshDR,4
ABRP-14,CEPshDR,4
ABRP-14,CEPDR,6
OLLL,IL1DL,1
OLLL,RMDR,21
OLLL,RMDL,1
OLLL,SMDVR,22
OLLL,SMDDL,5
OLLL,RMDDL,20
OLLL,RMDVL,4
OLLL,SMDDR,10
OLLL,IL1L,1
OLLL,RIBL,8
OLLL,IL1VL,2
OLLL,AVER,24
OLLL,NRV,9
VC74,unk111,10
VC74,AVBR,15
VC74,ALMR,2
VC74,MCMR,15
RIGL,AVKR,19
RIGL,ADER,1
RIGL,RIMR,1
RIGL,PLNL,3
RIGL,NRL,2
RIGL,OLQVL,4
RIGL,AVAR,16
RIGL,RMFL,3
RIGL,AVKL,7
RIGL,RIR,11
RIGL,DVC,7
RIGL,RIML,8
RIGL,NRVL,2
RIGL,RIBL,2
RIGL,AVER,7
RIGL,ALNL,4
RIGL,RIML,8
RIGL,RIAL,3
RIGL,RMHR,30
RIGL,AINR,4
PVN_2,PVCR,2
PVN_2,PVQR,2
PVN_2,VGRPVCL,2
PVN_2,PVN_,4
contin43,contin1,13
contin43,contin30,1
OLLR,IL1VR,1
OLLR,RMDDR,16
OLLR,AVEL,42
OLLR,RIBR,14
OLLR,CEPVR,8
OLLR,IL1R,5
OLLR,RIBR,21
OLLR,RMDVR,6
OLLR,RIGR,2
OLLR,NRRfrag,6
OLLR,mid8,2
OLLR,RMDR,5
OLLR,NRVfrag,1
OLLR,SMDVL,22
OLLR,RMER,1
OLLR,CEPDR,11
OLQDR,RIAR,1
OLQDR,RICR,3
OLQDR,RMDVR,6
OLQDR,mus-DR,5
OLQDR,RIPR,5
OLQDR,RICL,20
OLQDR,IL2R,9
OLQDR,RICL,20
OLQDR,RIH,1
OLQDR,SIBVR,13
OLQDR,RMDDL,19
OLQDR,CEPDR,1
VBn,DDn,5
VBn,mus,4
VBn,VAn/VBn,3
DCCC1,DCC6,2
DCCC1,DCM,3
VAn/VBn,contin69,2
VAn/VBn,DDn,12
VAn/VBn,mus,14
VAn/VBn,VDn,2
RIFL,MCML,3
RIFL,SIBVL,3
RIFL,vc-left-24,4
RIFL,AVFL,4
RIFL,SMBVL,1
RIFL,AVBL,46
RIFL,contin10626,4
RIFL,AIYL,3
RIFL,RIML,38
RIFL,RIML,38
RIFL,AVBR,10
RIFL,AIBL,3
NRRfrag,ABRP-10,3
NRRfrag,AIYR,5
NRRfrag,ABRP-16,1
NRRfrag,CEPVR,1
NRRfrag,IL1R,9
NRRfrag,URXR,16
NRRfrag,ASER,2
NRRfrag,AIAR,11
NRRfrag,RMHL,7
NRRfrag,mus-VR,5
